"Partner Country","Species","Quantity (t)"
"Italy","Salmonids","466"
"North Macedonia","Salmonids","114"
"Bosnia and Herzegovina","Carp","84"
"Montenegro","Salmonids","22"
"North Macedonia","Carp","20"
"Croatia","Salmonids","2"
"Montenegro","Bass and bream","2"
"Bosnia and Herzegovina","Salmonids","0"
