"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Atlantic salmon",4600,2.083,0.376,13405,"2,914,130","7,750,347","6,071,105"
"Rainbow trout",1300,2.083,0.343,500,"384,615","1,121,328","801,282"
