"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout",1300,2.083,0.343,1096,"843,077","2,457,950","1,756,410"
"Gilthead seabream",350,2.083,0.26,91,"260,000","1,000,000","541,667"
"European seabass",400,2.083,0.214,98,"245,000","1,144,860","510,417"
