"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",7550,"5,807,692","16,932,048","12,099,359"
"Freshwater fishes nei","","","",1431,"","",""
"Euro-American crayfishes nei","","","",0,"","",""
