"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Atlantic salmon","4600","2.083","0.376",169194,"36,781,304","97,822,618","76,627,717"
"Rainbow trout","1300","2.083","0.343",13470,"10,361,787","30,209,291","21,587,056"
"Common carp","1500","3","0.68",278,"185,161","272,295","555,482"
"Sea trout","1300","2.083","0.343",220,"169,340","493,703","352,792"
"Salmonids nei","4600","2.083","0.376",630,"136,957","364,246","285,326"
"Marine fishes nei","","","",169,"","",""
"Freshwater fishes nei","","","",43,"","",""
