"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Gilthead seabream","350","2.083","0.26",2506,"7,159,251","27,535,582","14,915,107"
"European seabass","400","2.083","0.214",16,"40,773","190,526","84,943"
"Atlantic bluefin tuna","","","",15394,"","",""
"Marine fishes NEI","","","",38,"","",""
