"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.00343",1534,"1,179,846","343,978,471","2,458,013"
"Common carp","1500","3","0.0068",217,"144,800","21,294,118","434,400"
"Sea trout","1300","2.083","0.00343",55,"42,000","12,244,898","87,500"
"Ohrid trout","","","",4,"","",""
"Wels(=Som) catfish","","","",3,"","",""
"Freshwater fishes nei","","","",2,"","",""
