"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Gilthead seabream","350","2.083","0.26",6399,"18,282,857","70,318,681","38,089,286"
"European seabass","400","2.083","0.214",2494,"6,235,000","29,135,514","12,989,583"
"Indian white prawn","13","0.411","0.29",16,"1,200,000","4,137,931","492,813"
"Rainbow trout","1300","2.083","0.343",47,"36,154","105,405","75,321"
"Meagre","2500","1","0.3",45,"18,000","60,000","18,000"
"Red seabream","","","",52,"","",""
"Siberian sturgeon","","","",2,"","",""
