"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",383,"294,242","857,847","613,003"
"Rainbow trout","1300","2.083","0.343",295,"226,923","661,583","472,756"
"Common carp","1500","3","0.68",16,"10,939","16,087","32,818"
"Sturgeons nei","6000","1","0.3",13,"2,219","7,397","2,219"
"Freshwater fishes nei","","","",93,"","",""
"Noble crayfish","","","",1,"","",""
