"Species","Production (t)","Harvest weight g","Harvest age years","Mortality rate","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout",3338.4,"4000","1.125","0.19","834,600","4,392,632","938,925"
"Common carp",349.3,"1000","0.375","0.5","349,300","698,600","130,988"
"Gilthead seabream",104,"350","1.667","0.2","297,143","1,485,714","495,238"
"Sea trout",48.5,"700","2","0.26","69,286","266,484","138,571"
"European seabass",5.7,"450","1.583","0.26","12,667","48,718","20,056"
"Brook trout",48.5,"","","","","",""
"Freshwater fishes nei",15.6,"","","","","",""
"Wels(=Som) catfish",5.7,"","","","","",""
"Pike-perch",4.2,"","","","","",""
