"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Atlantic salmon","4600","2.083","0.376",49253,"10,707,174","28,476,526","22,306,612"
"Rainbow trout","1300","2.083","0.343",200,"153,846","448,531","320,513"
"Arctic char","","","",4778,"","",""
"Senegalese sole","","","",558,"","",""
