ISO2_Code
AL
AD
AT
BG
DK
BY
EE
FI
FR
DE
BA
GR
HU
HR
IS
IE
IT
LV
LT
MT
MD
NL
MK
NO
CZ
PL
PT
RO
SI
SK
ES
SE
CH
GB
BE
RS
ME
TR
